sample_accession	illumina_sample_id	entity:CHM13_SGDP_sample_id
SAMEA3302689	LP6005441-DNA_G03	simons_data_sample_193
SAMEA3302816	LP6005441-DNA_G02	simons_data_sample_194
SAMEA3302632	LP6005442-DNA_A02	simons_data_sample_195
SAMEA3302865	LP6005441-DNA_A12	simons_data_sample_196
SAMEA3302892	LP6005441-DNA_A10	simons_data_sample_197
SAMEA3302682	LP6005441-DNA_A11	simons_data_sample_198
SAMEA3302824	LP6005441-DNA_D12	simons_data_sample_199
SAMEA3302813	LP6005441-DNA_D11	simons_data_sample_200
SAMEA3302639	LP6005441-DNA_D10	simons_data_sample_201
SAMEA3302755	LP6005442-DNA_D01	simons_data_sample_202
SAMEA3302667	LP6005441-DNA_C09	simons_data_sample_203
SAMEA3302846	LP6005441-DNA_C08	simons_data_sample_204
SAMEA3302621	LP6005441-DNA_C02	simons_data_sample_205
SAMEA3302771	LP6005441-DNA_C07	simons_data_sample_206
SAMEA3302867	LP6005441-DNA_C06	simons_data_sample_207
SAMEA3302804	LP6005441-DNA_C05	simons_data_sample_208
SAMEA3302652	LP6005592-DNA_B03	simons_data_sample_209
SAMEA3302726	LP6005443-DNA_A08	simons_data_sample_210
SAMEA3302878	LP6005443-DNA_A02	simons_data_sample_211
SAMEA3302737	LP6005443-DNA_A01	simons_data_sample_212
SAMEA3302704	LP6005443-DNA_F07	simons_data_sample_213
SAMEA3302817	LP6005443-DNA_F01	simons_data_sample_214
SAMEA3302849	LP6005443-DNA_F02	simons_data_sample_215
SAMEA3302721	LP6005443-DNA_F08	simons_data_sample_216
SAMEA3302786	LP6005441-DNA_G10	simons_data_sample_217
SAMEA3302815	LP6005441-DNA_G11	simons_data_sample_218
SAMEA3302758	LP6005441-DNA_G12	simons_data_sample_219
SAMEA3302785	LP6005441-DNA_D04	simons_data_sample_220
SAMEA3302770	LP6005441-DNA_D05	simons_data_sample_221
SAMEA3302906	LP6005441-DNA_D06	simons_data_sample_222
SAMEA3302616	LP6005441-DNA_D07	simons_data_sample_223
SAMEA3302890	LP6005441-DNA_D01	simons_data_sample_224
SAMEA3302903	LP6005441-DNA_D02	simons_data_sample_225
SAMEA3302782	LP6005441-DNA_D03	simons_data_sample_226
SAMEA3302777	LP6005441-DNA_D08	simons_data_sample_227
SAMEA3302713	LP6005441-DNA_D09	simons_data_sample_228
SAMEA3302677	LP6005441-DNA_C03	simons_data_sample_229
SAMEA3302909	LP6005443-DNA_H01	simons_data_sample_230
SAMEA3302674	LP6005441-DNA_C10	simons_data_sample_231
SAMEA3302871	LP6005443-DNA_H07	simons_data_sample_232
SAMEA3302822	LP6005441-DNA_C11	simons_data_sample_233
SAMEA3302615	LP6005442-DNA_G01	simons_data_sample_234
SAMEA3302627	LP6005441-DNA_F10	simons_data_sample_235
SAMEA3302665	LP6005441-DNA_F12	simons_data_sample_236
SAMEA3302858	LP6005443-DNA_G08	simons_data_sample_237
SAMEA3302622	LP6005443-DNA_G07      	simons_data_sample_238
SAMEA3302787	LP6005443-DNA_G01	simons_data_sample_239
SAMEA3302630	LP6005443-DNA_G02	simons_data_sample_240
SAMEA3302864	LP6005443-DNA_B01	simons_data_sample_241
SAMEA3302818	LP6005443-DNA_B02	simons_data_sample_242
SAMEA3302772	LP6005443-DNA_B08	simons_data_sample_243
SAMEA3302611	LP6005442-DNA_B01	simons_data_sample_244
SAMEA3302791	LP6005441-DNA_H03	simons_data_sample_245
SAMEA3302657	LP6005443-DNA_D07	simons_data_sample_246
SAMEA3302802	LP6005443-DNA_D02	simons_data_sample_247
SAMEA3302739	LP6005443-DNA_D01	simons_data_sample_248
SAMEA3302700	LP6005443-DNA_D08	simons_data_sample_249
SAMEA3302684	LP6005441-DNA_H12	simons_data_sample_250
SAMEA3302685	LP6005441-DNA_H11	simons_data_sample_251
SAMEA3302766	LP6005441-DNA_H10	simons_data_sample_252
SAMEA3302893	LP6005441-DNA_E09	simons_data_sample_253
SAMEA3302653	LP6005441-DNA_E08	simons_data_sample_254
SAMEA3302731	LP6005441-DNA_E05	simons_data_sample_255
SAMEA3302756	LP6005441-DNA_E07	simons_data_sample_256
SAMEA3302754	LP6005441-DNA_E06	simons_data_sample_257
SAMEA3302798	LP6005441-DNA_E03	simons_data_sample_258
SAMEA3302823	LP6005441-DNA_E02	simons_data_sample_259
SAMEA3302900	LP6005441-DNA_B11	simons_data_sample_260
SAMEA3302738	LP6005441-DNA_B10	simons_data_sample_261
SAMEA3302830	LP6005441-DNA_B12	simons_data_sample_262
SAMEA3302761	LP6005441-DNA_F06	simons_data_sample_263
SAMEA3302850	LP6005441-DNA_F07	simons_data_sample_264
SAMEA3302840	LP6005441-DNA_F04	simons_data_sample_265
SAMEA3302749	LP6005441-DNA_F05	simons_data_sample_266
SAMEA3302695	LP6005441-DNA_F02	simons_data_sample_267
SAMEA3302795	LP6005441-DNA_F03	simons_data_sample_268
SAMEA3302869	LP6005441-DNA_F01	simons_data_sample_269
SAMEA3302743	LP6005441-DNA_F08	simons_data_sample_270
SAMEA3302614	LP6005441-DNA_F09	simons_data_sample_271
SAMEA3302706	LP6005442-DNA_F01	simons_data_sample_272
SAMEA3302776	LP6005441-DNA_A09	simons_data_sample_273
SAMEA3302659	LP6005441-DNA_A08	simons_data_sample_274
SAMEA3302656	LP6005441-DNA_A01	simons_data_sample_275
SAMEA3302636	LP6005441-DNA_A03	simons_data_sample_276
SAMEA3302635	LP6005441-DNA_A05	simons_data_sample_277
SAMEA3302619	LP6005441-DNA_A04	simons_data_sample_278
SAMEA3302673	LP6005441-DNA_H02	simons_data_sample_279
SAMEA3302851	LP6005592-DNA_D01	simons_data_sample_293
SAMEA3302875	LP6005592-DNA_C01	simons_data_sample_295
SAMEA3302765	LP6007069-DNA_A01	simons_data_sample_296
SAMEA3302625	LP6007068-DNA_A01	simons_data_sample_297
SAMEA3449879	LP6005592-DNA_B01	simons_data_sample_304
SAMEA3449877	LP6005441-DNA_C01	simons_data_sample_305
SAMEA3449876	LP6005441-DNA_A06	simons_data_sample_306
SAMEA3449878	LP6005443-DNA_C01	simons_data_sample_307
