Sequencing_Panel	Sample_ID_Illumina	Sample_ID_Collaborator	Sample_ID_SGDP	Embargo_level	Sex	Population_ID	Region	Country
C	LP6005443-DNA_E08	HGDP00554	S_Papuan-14	X	XX	Papuan	Oceania	PapuaNewGuinea
C	LP6005443-DNA_H07	HGDP00540	S_Papuan-2	X	XY	Papuan	Oceania	PapuaNewGuinea
C	LP6005441-DNA_A10	HGDP00541	S_Papuan-3	X	XY	Papuan	Oceania	PapuaNewGuinea
C	LP6005443-DNA_E07	HGDP00543	S_Papuan-4	X	XY	Papuan	Oceania	PapuaNewGuinea
C	LP6005443-DNA_D07	HGDP00545	S_Papuan-5	X	XY	Papuan	Oceania	PapuaNewGuinea
C	LP6005443-DNA_C08	HGDP00547	S_Papuan-6	X	XY	Papuan	Oceania	PapuaNewGuinea
C	LP6005443-DNA_F07	HGDP00548	S_Papuan-7	X	XY	Papuan	Oceania	PapuaNewGuinea
C	LP6005443-DNA_A08	HGDP00549	S_Papuan-8	X	XY	Papuan	Oceania	PapuaNewGuinea
C	LP6005443-DNA_F08	HGDP00551	S_Papuan-9	X	XY	Papuan	Oceania	PapuaNewGuinea
C	LP6005441-DNA_D01	HGDP00090	S_Balochi-1	X	XY	Balochi	SouthAsia	Pakistan
C	LP6005441-DNA_C01	HGDP00058	S_Balochi-2	X	XY	Balochi	SouthAsia	Pakistan
C	LP6005442-DNA_G09	HG03006	S_Bengali-1	X	XY	Bengali	SouthAsia	Bangladesh
C	LP6005442-DNA_H09	HG03007	S_Bengali-2	X	XX	Bengali	SouthAsia	Bangladesh
C	LP6005519-DNA_G03	B11	S_Brahmin-1	X	XY	Brahmin	SouthAsia	India
C	LP6005519-DNA_H03	B17	S_Brahmin-2	X	XY	Brahmin	SouthAsia	India
C	LP6005441-DNA_D03	HGDP00027	S_Brahui-1	X	XY	Brahui	SouthAsia	Pakistan
C	LP6005441-DNA_C03	HGDP00019	S_Brahui-2	X	XY	Brahui	SouthAsia	Pakistan
C	LP6005441-DNA_E03	HGDP00428	S_Burusho-1	X	XY	Burusho	SouthAsia	Pakistan
C	LP6005441-DNA_F03	HGDP00338	S_Burusho-2	X	XX	Burusho	SouthAsia	Pakistan
C	LP6005441-DNA_F05	HGDP00124	S_Hazara-1	X	XY	Hazara	SouthAsia	Pakistan
C	LP6005441-DNA_E05	HGDP00125	S_Hazara-2	X	XY	Hazara	SouthAsia	Pakistan
C	LP6005519-DNA_C05	I1	S_Irula-1	X	XY	Irula	SouthAsia	India
C	LP6005519-DNA_D05	I3	S_Irula-2	X	XY	Irula	SouthAsia	India
C	LP6005441-DNA_E06	HGDP00328	S_Kalash-1	X	XY	Kalash	SouthAsia	Pakistan
C	LP6005441-DNA_F06	HGDP00286	S_Kalash-2	X	XX	Kalash	SouthAsia	Pakistan
C	LP6005519-DNA_A04	K1	S_Kapu-1	X	XY	Kapu	SouthAsia	India
C	LP6005519-DNA_B04	K4	S_Kapu-2	X	XY	Kapu	SouthAsia	India
C	LP6005519-DNA_E05	KD4	S_Khonda_Dora-1	X	XY	Khonda_Dora	SouthAsia	India
C	LP6005443-DNA_C09	Kusunda02	S_Kusunda-1	X	XY	Kusunda	SouthAsia	Nepal
C	LP6005443-DNA_D09	Kusunda15	S_Kusunda-2	X	XY	Kusunda	SouthAsia	Nepal
C	LP6005519-DNA_G04	M4	S_Madiga-1	X	XY	Madiga	SouthAsia	India
C	LP6005519-DNA_H04	M13	S_Madiga-2	X	XY	Madiga	SouthAsia	India
C	LP6005441-DNA_C07	HGDP00160	S_Makrani-1	X	XY	Makrani	SouthAsia	Pakistan
C	LP6005441-DNA_D07	HGDP00157	S_Makrani-2	X	XX	Makrani	SouthAsia	Pakistan
C	LP6005519-DNA_E04	ML2	S_Mala-2	X	XY	Mala	SouthAsia	India
C	LP6005519-DNA_F04	ML3	S_Mala-3	X	XY	Mala	SouthAsia	India
C	LP6005441-DNA_C10	HGDP00216	S_Pathan-1	X	XY	Pathan	SouthAsia	Pakistan
C	LP6005441-DNA_D10	HGDP00232	S_Pathan-2	X	XX	Pathan	SouthAsia	Pakistan
C	LP6005592-DNA_B04	HG02724	S_Punjabi-1	X	XY	Punjabi	SouthAsia	Pakistan
C	LP6005442-DNA_A12	HG02783	S_Punjabi-2	X	XY	Punjabi	SouthAsia	Pakistan
C	LP6005442-DNA_B12	HG02790	S_Punjabi-3	X	XX	Punjabi	SouthAsia	Pakistan
C	LP6005592-DNA_A04	HG02494	S_Punjabi-4	X	XX	Punjabi	SouthAsia	Pakistan
C	LP6005519-DNA_A05	R3	S_Relli-1	X	XY	Relli	SouthAsia	India
C	LP6005519-DNA_B05	R6	S_Relli-2	X	XY	Relli	SouthAsia	India
C	LP6005441-DNA_G11	HGDP00208	S_Sindhi-1	X	XY	Sindhi	SouthAsia	Pakistan
C	LP6005441-DNA_H11	HGDP00195	S_Sindhi-2	X	XX	Sindhi	SouthAsia	Pakistan
C	LP6005519-DNA_C04	Y4	S_Yadava-1	X	XY	Yadava	SouthAsia	India
C	LP6005519-DNA_D04	Y8	S_Yadava-2	X	XY	Yadava	SouthAsia	India
C	LP6005442-DNA_C02	abh107	S_Abkhasian-1	X	XY	Abkhasian	WestEurasia	Abkhazia
C	LP6005442-DNA_D02	abh100	S_Abkhasian-2	X	XY	Abkhasian	WestEurasia	Russia
C	LP6005441-DNA_A01	HGDP01402	S_Adygei-1	X	XY	Adygei	WestEurasia	Russia(Caucasus)
C	LP6005441-DNA_B01	HGDP01401	S_Adygei-2	X	XX	Adygei	WestEurasia	Russia(Caucasus)
C	LP6005677-DNA_B01	ALB212	S_Albanian-1	X	XX	Albanian	WestEurasia	Albania
C	LP6005442-DNA_G02	armenia293	S_Armenian-1	X	XY	Armenian	WestEurasia	Armenia
C	LP6005519-DNA_F03	Armenian222	S_Armenian-2	X	XY	Armenian	WestEurasia	Armenia
C	LP6005441-DNA_C02	HGDP01364	S_Basque-1	X	XY	Basque	WestEurasia	France
C	LP6005441-DNA_D02	HGDP01365	S_Basque-2	X	XX	Basque	WestEurasia	France
C	LP6005441-DNA_E02	HGDP00616	S_BedouinB-1	X	XY	BedouinB	WestEurasia	Israel(Negev)
C	LP6005441-DNA_F02	HGDP00650	S_BedouinB-2	X	XX	BedouinB	WestEurasia	Israel(Negev)
C	LP6005441-DNA_A06	HGDP01153	S_Bergamo-1	X	XY	Bergamo	WestEurasia	Italy(Bergamo)
C	LP6005441-DNA_B06	HGDP01172	S_Bergamo-2	X	XX	Bergamo	WestEurasia	Italy(Bergamo)
C	LP6005442-DNA_A03	BulgarianB4	S_Bulgarian-1	X	XY	Bulgarian	WestEurasia	Bulgaria
C	LP6005442-DNA_B03	BulgarianC1	S_Bulgarian-2	X	XY	Bulgarian	WestEurasia	Bulgaria
C	LP6005442-DNA_D03	ch113	S_Chechen-1	X	XY	Chechen	WestEurasia	Russia
C	LP6005443-DNA_H05	NA15728	S_Czech-2	X	XY	Czech	WestEurasia	Czechoslovia(pre1989)
C	LP6005443-DNA_D01	HGDP00569	S_Druze-1	X	XX	Druze	WestEurasia	Israel(Carmel)
C	LP6005441-DNA_G04	HGDP00597	S_Druze-2	X	XY	Druze	WestEurasia	Israel(Carmel)
C	LP6005442-DNA_E10	HG00126	S_English-1	X	XY	English	WestEurasia	England
C	LP6005442-DNA_F10	HG00128	S_English-2	X	XX	English	WestEurasia	England
C	LP6005442-DNA_H03	Est375	S_Estonian-1	X	XY	Estonian	WestEurasia	Estonia
C	LP6005442-DNA_G03	Est400	S_Estonian-2	X	XY	Estonian	WestEurasia	Estonia
C	LP6005442-DNA_D10	HG00174	S_Finnish-1	X	XX	Finnish	WestEurasia	Finland
C	LP6005442-DNA_C10	HG00190	S_Finnish-2	X	XY	Finnish	WestEurasia	Finland
C	LP6005592-DNA_A02	HG00360	S_Finnish-3	X	XY	Finnish	WestEurasia	Finland
C	LP6005441-DNA_A05	HGDP00530	S_French-1	X	XY	French	WestEurasia	France
C	LP6005441-DNA_B05	HGDP00526	S_French-2	X	XX	French	WestEurasia	France
C	LP6005442-DNA_B04	mg27	S_Georgian-1	X	XY	Georgian	WestEurasia	Georgia
C	LP6005442-DNA_A04	mg31	S_Georgian-2	X	XY	Georgian	WestEurasia	Georgia
C	LP6005442-DNA_G07	NA17377	S_Greek-1	X	XY	Greek	WestEurasia	Greece
C	LP6005443-DNA_A06	NA17374	S_Greek-2	X	XY	Greek	WestEurasia	Greece
C	LP6005442-DNA_B08	NA15203	S_Hungarian-1	X	XX	Hungarian	WestEurasia	Hungary
C	LP6005442-DNA_A08	NA15202	S_Hungarian-2	X	XY	Hungarian	WestEurasia	Hungary
C	LP6005442-DNA_D08	NA15761	S_Icelandic-1	X	XX	Icelandic	WestEurasia	Iceland
C	LP6005443-DNA_B06	NA15763	S_Icelandic-2	X	XX	Icelandic	WestEurasia	Iceland
C	LP6005442-DNA_C04	iran17	S_Iranian-1	X	XY	Iranian	WestEurasia	Iran
C	LP6005443-DNA_B10	iran11	S_Iranian-2	X	XY	Iranian	WestEurasia	Iran
C	LP6005592-DNA_F01	IraqiJew1771	S_Iraqi_Jew-1	X	XX	Iraqi_Jew	WestEurasia	Iraq
C	LP6005592-DNA_E01	IraqiJew4291	S_Iraqi_Jew-2	X	XY	Iraqi_Jew	WestEurasia	Iraq
C	LP6005592-DNA_G03	Jordan445	S_Jordanian-1	X	XY	Jordanian	WestEurasia	Jordan
C	LP6005442-DNA_F04	Jordan603	S_Jordanian-2	X	XY	Jordanian	WestEurasia	Jordan
C	LP6005442-DNA_E04	Jordan214	S_Jordanian-3	X	XY	Jordanian	WestEurasia	Jordan
C	LP6005442-DNA_G04	lez42	S_Lezgin-2	X	XY	Lezgin	WestEurasia	Russia
C	LP6005443-DNA_E10	NorthOssetia12	S_North_Ossetian-1	X	XY	North_Ossetian	WestEurasia	Russia
C	LP6005443-DNA_F10	NorthOssetia5	S_North_Ossetian-2	X	XY	North_Ossetian	WestEurasia	Russia
C	LP6005592-DNA_B01	NOR111	S_Norwegian-1	X	XX	Norwegian	WestEurasia	Norway
C	LP6005441-DNA_C09	HGDP00798	S_Orcadian-1	X	XY	Orcadian	WestEurasia	OrkneyIslands
C	LP6005441-DNA_D09	HGDP00796	S_Orcadian-2	X	XX	Orcadian	WestEurasia	OrkneyIslands
C	LP6005592-DNA_B03	HGDP00722	S_Palestinian-1	X	XY	Palestinian	WestEurasia	Israel(Central)
C	LP6005441-DNA_G09	HGDP00725	S_Palestinian-2	X	XX	Palestinian	WestEurasia	Israel(Central)
C	LP6005441-DNA_H09	HGDP00737	S_Palestinian-3	X	XX	Palestinian	WestEurasia	Israel(Central)
C	LP6005592-DNA_E02	ND15865	S_Polish-1	X	XY	Polish	WestEurasia	Poland
C	LP6005441-DNA_G10	HGDP00887	S_Russian-1	X	XY	Russian	WestEurasia	Russia
C	LP6005441-DNA_H10	HGDP00903	S_Russian-2	X	XX	Russian	WestEurasia	Russia
C	LP6005592-DNA_C01	Utsa21	S_Saami-1	X	XX	Saami	WestEurasia	Finland
C	LP6005592-DNA_D01	Utsa22	S_Saami-2	X	XY	Saami	WestEurasia	Finland
C	LP6005592-DNA_D04	Sam02	S_Samaritan-1	X	XY	Samaritan	WestEurasia	Israel
C	LP6005441-DNA_C11	HGDP01079	S_Sardinian-1	X	XY	Sardinian	WestEurasia	Italy(Sardinia)
C	LP6005441-DNA_D11	HGDP01078	S_Sardinian-2	X	XX	Sardinian	WestEurasia	Italy(Sardinia)
C	LP6005442-DNA_A11	HG01503	S_Spanish-1	X	XY	Spanish	WestEurasia	Spain
C	LP6005442-DNA_B11	HG01504	S_Spanish-2	X	XX	Spanish	WestEurasia	Spain
C	LP6005519-DNA_C03	tdj409_shugnan	S_Tajik-1	X	XY	Tajik	WestEurasia	Tajikistan
C	LP6005519-DNA_D03	tdj430_shugnan	S_Tajik-2	X	XY	Tajik	WestEurasia	Tajikistan
C	LP6005677-DNA_C03	Kayseri23827	S_Turkish-1	X	XY	Turkish	WestEurasia	Turkey
C	LP6005677-DNA_A03	Kayseri24424	S_Turkish-2	X	XX	Turkish	WestEurasia	Turkey
C	LP6005441-DNA_H12	HGDP01168	S_Tuscan-1	X	XX	Tuscan	WestEurasia	Italy(Tuscany)
C	LP6005441-DNA_G12	HGDP01163	S_Tuscan-2	X	XY	Tuscan	WestEurasia	Italy(Tuscany)
C	LP6005592-DNA_H01	YemeniteJew4695	S_Yemenite_Jew-1	X	XX	Yemenite_Jew	WestEurasia	Yemen
C	LP6005592-DNA_G01	YemeniteJew5433	S_Yemenite_Jew-2	X	XY	Yemenite_Jew	WestEurasia	Yemen
C	LP6005592-DNA_F05	ADR2	T_Sherpa-2	Y	XX	Sherpa	SouthAsia	Nepal
C	LP6005592-DNA_G05	ADR3	T_Tibetan-1	Y	XX	Tibetan	SouthAsia	Tibet
C	LP6005619-DNA_A01	ADR4	T_Tibetan-2	Y	XX	Tibetan	SouthAsia	Tibet
C	LP6005592-DNA_E05	ADR1	T_Sherpa-1	Y	XY	Sherpa	SouthAsia	Nepal
